SearchBayesianSkopt: Resuming 'UserKNNCFRecommender_cosine' Failed, no such file exists.
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 893, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'URM_bias': 1000.0} - results: PRECISION: 0.3761762, PRECISION_RECALL_MIN_DEN: 0.3782208, RECALL: 0.0671904, MAP: 0.2310903, MAP_MIN_DEN: 0.2321505, MRR: 0.6363297, NDCG: 0.3936216, F1: 0.1140159, HIT_RATE: 0.9679027, ARHR_ALL_HITS: 1.1925018, NOVELTY: 0.0054069, AVERAGE_POPULARITY: 0.6208091, DIVERSITY_MEAN_INTER_LIST: 0.8419124, DIVERSITY_HERFINDAHL: 0.9841851, COVERAGE_ITEM: 0.0758625, COVERAGE_ITEM_CORRECT: 0.0332798, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9676190, DIVERSITY_GINI: 0.0055247, SHANNON_ENTROPY: 6.8344399, RATIO_DIVERSITY_HERFINDAHL: 0.9845647, RATIO_DIVERSITY_GINI: 0.0222722, RATIO_SHANNON_ENTROPY: 0.5515761, RATIO_AVERAGE_POPULARITY: 3.0483190, RATIO_NOVELTY: 0.0254390, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 885, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'URM_bias': 1000.0} - results: PRECISION: 0.3763447, PRECISION_RECALL_MIN_DEN: 0.3784132, RECALL: 0.0672826, MAP: 0.2313347, MAP_MIN_DEN: 0.2324129, MRR: 0.6369739, NDCG: 0.3939299, F1: 0.1141565, HIT_RATE: 0.9675363, ARHR_ALL_HITS: 1.1937229, NOVELTY: 0.0054075, AVERAGE_POPULARITY: 0.6205988, DIVERSITY_MEAN_INTER_LIST: 0.8421968, DIVERSITY_HERFINDAHL: 0.9842135, COVERAGE_ITEM: 0.0763608, COVERAGE_ITEM_CORRECT: 0.0333906, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9672527, DIVERSITY_GINI: 0.0055466, SHANNON_ENTROPY: 6.8383004, RATIO_DIVERSITY_HERFINDAHL: 0.9845931, RATIO_DIVERSITY_GINI: 0.0223606, RATIO_SHANNON_ENTROPY: 0.5518876, RATIO_AVERAGE_POPULARITY: 3.0472867, RATIO_NOVELTY: 0.0254417, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 803, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'URM_bias': 1000.0} - results: PRECISION: 0.3765792, PRECISION_RECALL_MIN_DEN: 0.3786050, RECALL: 0.0673333, MAP: 0.2316387, MAP_MIN_DEN: 0.2326805, MRR: 0.6369871, NDCG: 0.3941671, F1: 0.1142402, HIT_RATE: 0.9676096, ARHR_ALL_HITS: 1.1944990, NOVELTY: 0.0054164, AVERAGE_POPULARITY: 0.6167623, DIVERSITY_MEAN_INTER_LIST: 0.8457639, DIVERSITY_HERFINDAHL: 0.9845702, COVERAGE_ITEM: 0.0813445, COVERAGE_ITEM_CORRECT: 0.0354394, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9673260, DIVERSITY_GINI: 0.0058570, SHANNON_ENTROPY: 6.8953088, RATIO_DIVERSITY_HERFINDAHL: 0.9849500, RATIO_DIVERSITY_GINI: 0.0236117, RATIO_SHANNON_ENTROPY: 0.5564885, RATIO_AVERAGE_POPULARITY: 3.0284483, RATIO_NOVELTY: 0.0254834, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 841, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'URM_bias': 300.3613752755209} - results: PRECISION: 0.3764620, PRECISION_RECALL_MIN_DEN: 0.3785369, RECALL: 0.0673402, MAP: 0.2315019, MAP_MIN_DEN: 0.2325935, MRR: 0.6366911, NDCG: 0.3940722, F1: 0.1142446, HIT_RATE: 0.9678294, ARHR_ALL_HITS: 1.1940526, NOVELTY: 0.0054122, AVERAGE_POPULARITY: 0.6185656, DIVERSITY_MEAN_INTER_LIST: 0.8440704, DIVERSITY_HERFINDAHL: 0.9844009, COVERAGE_ITEM: 0.0788526, COVERAGE_ITEM_CORRECT: 0.0346088, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9675458, DIVERSITY_GINI: 0.0057020, SHANNON_ENTROPY: 6.8675093, RATIO_DIVERSITY_HERFINDAHL: 0.9847806, RATIO_DIVERSITY_GINI: 0.0229871, RATIO_SHANNON_ENTROPY: 0.5542449, RATIO_AVERAGE_POPULARITY: 3.0373030, RATIO_NOVELTY: 0.0254639, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 885, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'URM_bias': 517.2459463777135} - results: PRECISION: 0.3762861, PRECISION_RECALL_MIN_DEN: 0.3783326, RECALL: 0.0672323, MAP: 0.2313255, MAP_MIN_DEN: 0.2323984, MRR: 0.6370699, NDCG: 0.3938990, F1: 0.1140813, HIT_RATE: 0.9674630, ARHR_ALL_HITS: 1.1937458, NOVELTY: 0.0054074, AVERAGE_POPULARITY: 0.6205924, DIVERSITY_MEAN_INTER_LIST: 0.8422227, DIVERSITY_HERFINDAHL: 0.9842161, COVERAGE_ITEM: 0.0760839, COVERAGE_ITEM_CORRECT: 0.0333352, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9671795, DIVERSITY_GINI: 0.0055424, SHANNON_ENTROPY: 6.8382091, RATIO_DIVERSITY_HERFINDAHL: 0.9845957, RATIO_DIVERSITY_GINI: 0.0223433, RATIO_SHANNON_ENTROPY: 0.5518803, RATIO_AVERAGE_POPULARITY: 3.0472554, RATIO_NOVELTY: 0.0254412, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 874, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'URM_bias': 0.01} - results: PRECISION: 0.3762495, PRECISION_RECALL_MIN_DEN: 0.3783092, RECALL: 0.0672656, MAP: 0.2313531, MAP_MIN_DEN: 0.2324288, MRR: 0.6363770, NDCG: 0.3938517, F1: 0.1141276, HIT_RATE: 0.9676096, ARHR_ALL_HITS: 1.1934435, NOVELTY: 0.0054091, AVERAGE_POPULARITY: 0.6199512, DIVERSITY_MEAN_INTER_LIST: 0.8426916, DIVERSITY_HERFINDAHL: 0.9842630, COVERAGE_ITEM: 0.0772468, COVERAGE_ITEM_CORRECT: 0.0337228, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9673260, DIVERSITY_GINI: 0.0055929, SHANNON_ENTROPY: 6.8468938, RATIO_DIVERSITY_HERFINDAHL: 0.9846426, RATIO_DIVERSITY_GINI: 0.0225470, RATIO_SHANNON_ENTROPY: 0.5525811, RATIO_AVERAGE_POPULARITY: 3.0441069, RATIO_NOVELTY: 0.0254493, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 860, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'URM_bias': 40.39245379814741} - results: PRECISION: 0.3761615, PRECISION_RECALL_MIN_DEN: 0.3782099, RECALL: 0.0672158, MAP: 0.2312171, MAP_MIN_DEN: 0.2323145, MRR: 0.6359176, NDCG: 0.3937424, F1: 0.1140519, HIT_RATE: 0.9676096, ARHR_ALL_HITS: 1.1929651, NOVELTY: 0.0054103, AVERAGE_POPULARITY: 0.6194471, DIVERSITY_MEAN_INTER_LIST: 0.8432511, DIVERSITY_HERFINDAHL: 0.9843189, COVERAGE_ITEM: 0.0774129, COVERAGE_ITEM_CORRECT: 0.0342212, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9673260, DIVERSITY_GINI: 0.0056258, SHANNON_ENTROPY: 6.8542352, RATIO_DIVERSITY_HERFINDAHL: 0.9846986, RATIO_DIVERSITY_GINI: 0.0226798, RATIO_SHANNON_ENTROPY: 0.5531736, RATIO_AVERAGE_POPULARITY: 3.0416315, RATIO_NOVELTY: 0.0254548, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'URM_bias': 0.01} - results: PRECISION: 0.3749377, PRECISION_RECALL_MIN_DEN: 0.3770621, RECALL: 0.0672081, MAP: 0.2301238, MAP_MIN_DEN: 0.2312004, MRR: 0.6361037, NDCG: 0.3926104, F1: 0.1139843, HIT_RATE: 0.9677561, ARHR_ALL_HITS: 1.1900823, NOVELTY: 0.0053961, AVERAGE_POPULARITY: 0.6254779, DIVERSITY_MEAN_INTER_LIST: 0.8376930, DIVERSITY_HERFINDAHL: 0.9837632, COVERAGE_ITEM: 0.0707680, COVERAGE_ITEM_CORRECT: 0.0312310, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9674725, DIVERSITY_GINI: 0.0052073, SHANNON_ENTROPY: 6.7698212, RATIO_DIVERSITY_HERFINDAHL: 0.9841426, RATIO_DIVERSITY_GINI: 0.0209926, RATIO_SHANNON_ENTROPY: 0.5463610, RATIO_AVERAGE_POPULARITY: 3.0712444, RATIO_NOVELTY: 0.0253881, 
SearchBayesianSkopt: Config 19 was already explored at index 18. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'URM_bias': 0.01} - results: PRECISION: 0.3749377, PRECISION_RECALL_MIN_DEN: 0.3770621, RECALL: 0.0672081, MAP: 0.2301238, MAP_MIN_DEN: 0.2312004, MRR: 0.6361037, NDCG: 0.3926104, F1: 0.1139843, HIT_RATE: 0.9677561, ARHR_ALL_HITS: 1.1900823, NOVELTY: 0.0053961, AVERAGE_POPULARITY: 0.6254779, DIVERSITY_MEAN_INTER_LIST: 0.8376930, DIVERSITY_HERFINDAHL: 0.9837632, COVERAGE_ITEM: 0.0707680, COVERAGE_ITEM_CORRECT: 0.0312310, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9674725, DIVERSITY_GINI: 0.0052073, SHANNON_ENTROPY: 6.7698212, RATIO_DIVERSITY_HERFINDAHL: 0.9841426, RATIO_DIVERSITY_GINI: 0.0209926, RATIO_SHANNON_ENTROPY: 0.5463610, RATIO_AVERAGE_POPULARITY: 3.0712444, RATIO_NOVELTY: 0.0253881, 
SearchBayesianSkopt: Search complete. Best config is 0: {'topK': 549, 'shrink': 90, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'URM_bias': 3.7071362698897645}
